0.04,图瓦卢
0.17,基里巴斯
0.29,帕劳
0.2,马绍尔群岛
0.42,圣多美和普林西比
0.5,汤加
0.73,科摩罗
0.79,圣文森特和格林纳丁斯
0.82,冈比亚
0.8,瓦努阿图
0.93,格林纳达
0.94,圣基茨和尼维斯
0.9,萨摩亚
1.02,几内亚比绍
1.31,所罗门群岛
1.33,安提瓜和巴布达
1.46,圣卢西亚
1.47,塞舌尔
1.58,圣马力诺
1.85,伯利兹
1.93,佛得角
1.93,吉布提
10945,摩洛哥
10976,厄瓜多尔
1149,马达加斯加
1177,马里
11800,安哥拉
1196841,中国
1204,刚果
1218,南苏丹
1224,布基纳法索
1240,文莱
125982,西班牙
128173,澳大利亚
130095,墨西哥
1307,尼加拉瓜
1310,蒙古
13268,匈牙利
1328,阿尔巴尼亚
1347,乍得
1356,纳米比亚
137556,俄罗斯
1379,老挝
1411,牙买加
1415,毛里求斯
1444,津巴布韦
1460,格鲁吉亚
14885,科威特
150963,韩国
1621,博茨瓦纳
1625,塞内加尔
1628,加蓬
168429,加拿大
18348,委内瑞拉
1838,冰岛
18671,捷克共和国
188088,意大利
1895922,美国
1895,莫桑比克
192767,巴西
1939,柬埔寨
19752,阿尔及利亚
19958,伊拉克
19999,新西兰
2.04,中非共和国
2.22,莱索托
2.23,利比里亚
2.51,不丹
20228,秘鲁
2022,罗马尼亚
2024,塞浦路斯
20532,卡塔尔
2059,洪都拉斯
2068,巴布亚新几内亚
20699,葡萄牙
2164,阿富汗
21660,哈萨克斯坦
21722,希腊
21981,越南
22394,孟加拉国
23049,爱尔兰
2375,尼泊尔
24218,芬兰
2446,爱沙尼亚
251060,印度
252632,法国
26141,智利
2728,萨尔瓦多
2809,乌干达
298153,英国
2981,拉脱维亚
3.24,马尔代夫
3.35,圭亚那
3.68,布隆迪
3.68,斯威士兰
30783,丹麦
3082,特立尼达和多巴哥
3089,赞比亚
3091,喀麦隆
31051,新加坡
31051,以色列
3214,巴拉圭
33128,香港
3329,巴林
33458,南非
3493,科特迪瓦
351363,德国
36026,哥伦比亚
36453,马来西亚
3669,玻利维亚
380,东帝汶
39214,阿拉伯联合酋长国
39279,奥地利
4.45,黑山
4.57,巴巴多斯
4.61,斐济
4.8,厄立特里亚
4044,伊朗
4092,约旦
41230,泰国
4259,加纳
4291,利比亚
43166,挪威
4325,塞尔维亚
434805,日本
4412,斯洛文尼亚
4516,立陶宛
4609,突尼斯
4637,也门
47542,比利时
493,多哥
4992,克罗地亚
5.15,塞拉利昂
5.33,毛里塔尼亚
5.71,马拉维
5.94,苏里南
5158,巴拿马
51696,波兰
51848,尼日利亚
51848,瑞典
5189,土库曼斯坦
5299,保加利亚
5414,坦桑尼亚
5568,哥斯达黎加
56631,台湾
5711,黎巴嫩
57327,阿根廷
5752,卢森堡
5943,乌拉圭
6.52,摩尔多瓦
6.8,科索沃
6244,埃塞俄比亚
6250,白俄罗斯
6364,阿塞拜疆
6882,阿曼
695100,瑞士
695100,荷兰
6953,多明尼加
6970,危地马拉
70568,沙特阿拉伯
7368,肯尼亚
7647,苏丹
7649,乌兹别克斯坦
7789,缅甸
782,尼日尔
79082,土耳其
791,几内亚
791,吉尔吉斯斯坦
8746,斯里兰卡
899,亚美尼亚
899,贝宁
9139,斯洛伐克
917,塔吉克斯坦
9263,乌克兰
943,赤道几内亚
95194,印度尼西亚
954,卢旺达
957,巴哈马
963,海地
992,马其顿
992,马耳他
0.32,密克罗尼西亚
2059,朝鲜
